brand_name,generic_name
Ilube 5% eye drops,Acetylcysteine 5% eye drops
Imigran 100mg tablets,Sumatriptan 100mg tablets
Imigran 10mg nasal spray,Sumatriptan 10mg/0.1ml nasal spray unit dose
Imigran 20mg nasal spray,Sumatriptan 20mg/0.1ml nasal spray unit dose
Imodium Instant Melts 2mg orodispersible tablets,loperamide 2mg orodispersible tablets sugar free
Imuran 25mg tablets,azathioprine 25mg tablets
Imvaggis 0.03mg pessaries,Estriol 30microgram pessaries
Incruse Ellipta 55micrograms/dose dry powder inhaler,Umeclidinium bromide 65micrograms/dose dry powder inhaler
Indivina 2mg/5mg tablets,Estradiol valerate 2mg / Medroxyprogesterone 5mg tablets
Inhixa 40mg/0.4ml solution for injection pre-filled syringes,enoxaparin sodium 40mg/0.4ml solution for injection pre-filled syringes
Inhixa 60mg/0.6ml solution for injection pre-filled syringes,enoxaparin sodium 60mg/0.6ml solution for injection pre-filled syringes
Intrarosa 6.5mg pessaries,prasterone 6.5mg pessaries
Invokana 100mg tablets,canagliflozin 100mg tablets
Invokana 300mg tablets,canagliflozin 300mg tablets
Iopidine 1% eye drops 0.25ml unit dose,Apraclonidine 1% eye drops 0.25ml unit dose preservative free
Ipinnia XL 6mg tablets,Ropinirole 6mg modified-release tablets
Ipratropium 20micrograms/dose inhaler,ipratropium bromide 20micrograms/dose inhaler cfc free
Ipratropium 500micrograms/2ml nebuliser liquid Steri-Neb unit dose vials,Ipratropium bromide 500micrograms/2ml nebuliser liquid unit dose vials
Isodur 25XL capsules,Isosorbide mononitrate 25mg modified-release capsules
Isodur 50XL capsules,Isosorbide mononitrate 50mg modified-release capsules
Isotard 25XL tablets,isosorbide mononitrate 25mg modified-release tablets
Isotard 40XL tablets,Isosorbide mononitrate 40mg modified-release tablets
Isotard 50XL tablets,isosorbide mononitrate 50mg modified-release tablets
Jardiance 10mg tablets,Empagliflozin 10mg tablets
Jardiance 25mg tablets,Empagliflozin 25mg tablets
Jesacrin 1000mg modified-release tablets,Metformin 1g modified-release tablets
